dateTime,authorName,Message
2022-12-20 20:18:02,mata purra,มีเงินซื้อเรือดำน้ำจีน ที่ไม่มีเครื่องยนต์ แต่ไม่มีเงินซื้อเสื้อชูชีพ
2022-12-20 20:18:02,นายขนมครก,:face_exhaling:
2022-12-20 20:18:04,TRWTS,ประยุทธกร่างไม่ออก ซุ่มเงอะๆงะๆ อยู่
2022-12-20 20:18:12,หว่าง เอวใว,ไม่น่าพูดว่าเป็นกรณีศึกษา เพราะทุกอย่างมันอยู่ในหลักสูตรอยู่แล้ว นี่มันผิดที่คนออกคำสั่งแบบไม่รอบคอบไม่คำนึงถึงความปลอดภัย :love_you_gesture::love_you_gesture::love_you_gesture::love_you_gesture:
2022-12-20 20:18:13,ชัยพร ศรีสุวรรณ,เสียดาย บุคคลากร ทางทหาร ถ้าต้องตาย โดยที่ ไม่ได้รบ
2022-12-20 20:18:18,W.Winter,หลักประเทศกู 35 ปี
2022-12-20 20:18:22,W.Winter,ค
2022-12-20 20:18:22,siamwit theerasasawat,ภูมิอากาศเรื่องพื้นๆนี่ไม่รู้กันเลยหรือ ดูอุตุนิยมบ้างไหมทำไมเอาเรือไปเจอพายุ
2022-12-20 20:18:24,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,มืงยกเลิกซื้อเรือดำน้ำเถอะ เอางบมาทดแทน หาเรือใหม่
2022-12-20 20:18:25,Chalermchai Suchin,สุโขทัยระทม
2022-12-20 20:18:25,tawans,บอลไทยช่องไหนถามรอมอตอกีฬาดูนะครับไม่รู้ว่ามีไว้ทำไมชื่ออะไรไม่รู้เลย
2022-12-20 20:18:27,ศิษย์ฐิเวช มโนฤทธิ์,เรือรบ หรือว่าเรือแป๊ะกันแน่
2022-12-20 20:18:29,นะโม ตาสวด,มาจมง่ายๆแบบนี้ 555
2022-12-20 20:18:29,บรู๊ค ลินน์ NY,มันยังจะดันทุรัง ซื้อเรือจีนเครื่องยนต์จีน อีกแน่ะ
2022-12-20 20:18:32,Somporn Viyaporn,งบมีครับแต่คงจะไปไม่ถึงเรือ
2022-12-20 20:18:34,Rew Narawin,เรือรบอเมริกาจมได้ไง
2022-12-20 20:18:51,Narong Charoenying,เรือรบหลักเจอคลื่นแล้วล่ม แล้วประชาชนจะอุ่นใจได้อย่างไร
2022-12-20 20:18:54,กาลเวลา,มันอยากได้ลำใหม่
2022-12-20 20:18:56,TRWTS,ขีดความสามารถสูง เจอคลื่น จม เวรแท้ๆ
2022-12-20 20:18:57,Tee TRW,เรืออกไปทำไมหรอครับ
2022-12-20 20:18:58,Rew Narawin,เรือรบอเมริกาเชียวนะ
2022-12-20 20:19:05,Gengy RooNiGy,ๆ/พัง
2022-12-20 20:19:06,เนม,ๆ
